Ticker,Asset Class,Expense Ratio,Price,YTD,1-year annual returns,5-year annual returns,10-year annual returns,total annual returns,ETF Start Date
VBR,Stock - Small-Cap Value,0.0007,164.81,-0.075,0.0824,0.0961,0.1186,0.0934,1/26/2004
BNDW,International,0.0006,71.46,-0.0862,-0.045,0,0,0.0224,9/4/2018
BNDX,International,0.0007,50.84,-0.0763,-0.0478,0.0205,0,0.0279,5/31/2013
VWOB,International,0.002,65.05,-0.1531,-0.0601,0.0183,0,0.0301,5/31/2013
VT,International,0.0007,93.14,-0.1311,0.0611,0.1159,0.102,0.0757,6/24/2008
VSGX,International,0.0012,53.32,-0.1386,-0.0435,0,0,0.0611,9/18/2018
VEU,International,0.0007,53.88,-0.1192,-0.022,0.0679,0.0576,0.0372,3/2/2007
VSS,International,0.0007,114.74,-0.1431,-0.0077,0.0672,0.0628,0.0983,4/2/2009
VEA,International,0.0005,44.77,-0.122,0.0072,0.0717,0.0667,0.0276,7/20/2007
VGK,International,0.0008,58.45,-0.1415,0.0189,0.0708,0.065,0.0492,3/4/2005
VPL,International,0.0008,68.91,-0.1167,-0.0654,0.0602,0.0623,0.0499,3/4/2005
VNQI,International,0.0012,48.7,-0.0974,-0.0064,0.0424,0.0555,0.0462,11/1/2010
VIGI,International,0.0015,74.7,-0.1228,0.0261,0.0961,0,0.1058,2/25/2016
VYMI,International,0.0022,63.84,-0.0444,0.0772,0.0629,0,0.0906,2/25/2016
VXUS,International,0.0007,55.86,-0.1198,-0.0176,0.0678,0.058,0.0461,1/26/2011
VWO,International,0.0008,43.48,-0.1183,-0.0879,0.0584,0.0335,0.0621,3/4/2005
VOX,Stock - Sector,0.001,102.13,-0.2453,-0.0683,0.0655,0.0907,0.0791,9/23/2004
VCR,Stock - Sector,0.001,270.2,-0.2057,0.0434,0.1868,0.1706,0.118,1/26/2004
VDC,Stock - Sector,0.001,200.19,0.0054,0.1273,0.0962,0.1133,0.1018,1/26/2004
VDE,Stock - Sector,0.001,105.25,0.3667,0.6418,0.0592,0.0327,0.0694,9/23/2004
VFH,Stock - Sector,0.001,83.99,-0.1264,0.1276,0.1146,0.1331,0.0567,1/26/2004
VHT,Stock - Sector,0.001,239.57,-0.0978,0.1271,0.1472,0.158,0.1083,1/26/2004
VIS,Stock - Sector,0.001,179.22,-0.1141,0.0406,0.112,0.1273,0.0996,9/23/2004
VGT,Stock - Sector,0.001,367.38,-0.1966,0.1697,0.2644,0.202,0.1327,1/26/2004
VAW,Stock - Sector,0.001,186.16,-0.0512,0.1402,0.1231,0.1108,0.0989,1/26/2004
VNQ,Stock - Sector,0.0012,103.87,-0.0992,0.2142,0.0967,0.0969,0.0926,9/23/2004
VPU,Stock - Sector,0.001,154.69,-0.0043,0.1855,0.1087,0.1164,0.1032,1/26/2004
